,Company,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends  ,Most Recent Quarter  (mrq),Profit Margin  ,Operating Margin  (ttm),Return on Assets  (ttm),Return on Equity  (ttm),Revenue  (ttm),Revenue Per Share  (ttm),Quarterly Revenue Growth  (yoy),Gross Profit  (ttm),EBITDA  ,Net Income Avi to Common  (ttm),Diluted EPS  (ttm),Quarterly Earnings Growth  (yoy),Total Cash  (mrq),Total Cash Per Share  (mrq),Total Debt  (mrq),Total Debt/Equity  (mrq),Current Ratio  (mrq),Book Value Per Share  (mrq),Operating Cash Flow  (ttm),Levered Free Cash Flow  (ttm),Beta (5Y Monthly)  ,S&P 500 52-Week Change ,Avg Vol (3 month) ,Avg Vol (10 day) ,Shares Outstanding ,Implied Shares Outstanding ,Float ,Shares Short (5/15/2024) ,Short Ratio (5/15/2024) ,Short % of Float (5/15/2024) ,Short % of Shares Outstanding (5/15/2024) ,Shares Short (prior month 4/15/2024) ,Forward Annual Dividend Rate ,Forward Annual Dividend Yield ,Trailing Annual Dividend Rate ,Trailing Annual Dividend Yield ,Payout Ratio ,Dividend Date ,Ex-Dividend Date ,Last Split Factor ,Last Split Date ,Unnamed: 11,Unnamed: 0
1624,CULP,53.50M ,45.15M ,39.50 ,-- ,-- ,0.22 ,0.66 ,0.19 ,-57.36 ,4/30/2023,1/28/2024,-5.75%,-2.96%,-4.55%,-15.65%,237.23M,19.14,15.00%,--,-3.72M,-13.63M,-1.1000,--,12.59M,1.01,5.18M,6.41%,2.05,6.48,-2.75M,4.69M,1.24,23.23%,18.08k,12.67k,12.47M,12.47M,9.66M,17.06k,0.81,0.15%,0.14%,12.86k,--,--,0.00,0.00%,0.00%,4/19/2022,4/8/2022,3:2,1/12/1994,,
1625,CURI,64.85M ,30.29M ,-- ,-- ,-- ,1.14 ,0.97 ,0.54 ,21.84 ,12/31/2023,3/31/2024,-81.73%,-30.45%,-11.24%,-51.85%,56.5M,1.06,-3.10%,--,1.39M,-46.18M,-0.8600,--,38.75M,0.72,4.56M,6.81%,2.00,1.26,-9.2M,14.38M,1.15,23.23%,972.66k,658.74k,53.6M,53.6M,29.29M,480.29k,2.95,1.64%,0.90%,538.7k,0.1,8.70%,0.03,2.08%,0.00%,7/31/2024,7/12/2024,--,--,,
1626,CURIW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,-81.73%,-30.45%,-11.24%,-51.85%,56.5M,1.06,-3.10%,--,1.39M,-46.18M,--,--,38.75M,0.72,4.56M,6.81%,2.00,--,-9.2M,14.38M,1.15,23.23%,--,--,--,--,29.29M,,,,,,--,--,--,--,--,--,--,--,--,,
1627,CURV,688.68M ,1.19B ,60.00 ,-- ,-- ,0.60 ,-- ,1.03 ,8.70 ,2/3/2024,2/3/2024,1.01%,1.37%,7.30%,--,1.15B,11.08,-2.60%,--,92.05M,11.62M,0.11,--,11.73M,0.11,510.55M,--,0.77,-2.03,42.77M,76.86M,2.02,23.23%,72.69k,103.82k,104.35M,104.35M,11.33M,1.95M,37.11,16.07%,1.87%,1.84M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1628,CUTR,36.13M ,363.23M ,-- ,-- ,-- ,0.18 ,-- ,1.85 ,-8.85 ,12/31/2023,3/31/2024,-80.13%,-75.12%,-22.64%,--,196.64M,9.86,-28.90%,--,-137.71M,-157.56M,-7.9100,--,105.44M,5.25,434.18M,--,3.23,-9.60,-138.48M,-115.11M,1.42,23.23%,877.83k,396.37k,20.07M,20.07M,17.15M,7.45M,8.41,37.32%,37.12%,8.02M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1629,CUZ,3.48B ,6.09B ,46.73 ,-- ,-- ,4.31 ,0.78 ,7.52 ,11.95 ,12/31/2023,3/31/2024,9.13%,20.48%,1.52%,1.64%,811.36M,5.34,3.00%,--,504.14M,74.06M,0.49,-40.10%,5.45M,0.04,2.61B,57.88%,0.24,29.53,370.16M,367.99M,1.27,23.23%,1.25M,1M,152.07M,152.1M,150.59M,3.36M,2.59,3.13%,2.21%,3.13M,1.28,5.59%,1.28,5.62%,261.22%,4/15/2024,4/3/2024,1:4,6/17/2019,,
1630,CVAC,930.87M ,648.07M ,-- ,-- ,-- ,14.64 ,1.94 ,10.23 ,-11.80 ,12/31/2023,3/31/2024,0.00%,-623.03%,-21.53%,-47.11%,59M,0.26,73.60%,--,-270.82M,-273.3M,-1.3100,--,300.15M,1.34,40.64M,9.09%,2.25,1.99,-264.86M,-127.99M,2.67,23.23%,1.15M,1.68M,224.31M,229.71M,122.51M,3.62M,5.46,9.03%,1.61%,4.19M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1631,CVBF,2.27B ,-- ,10.68 ,10.96 ,-- ,4.20 ,1.09 ,7.97 ,-- ,12/31/2023,3/31/2024,39.50%,53.91%,1.29%,10.34%,533.53M,3.86,-7.90%,--,--,209.3M,1.52,-18.00%,973.94M,6.97,2.29B,--,--,14.94,302.99M,--,0.46,23.23%,686.05k,603.57k,139.64M,141.02M,131.13M,6.52M,9.55,6.79%,4.67%,6.36M,0.8,4.93%,0.80,4.84%,52.63%,4/17/2024,4/2/2024,11:10,1/3/2007,,
1632,CVCO,2.97B ,2.64B ,19.55 ,-- ,-- ,1.72 ,2.88 ,1.47 ,12.03 ,3/30/2024,3/30/2024,8.79%,8.88%,8.33%,15.70%,1.79B,210.99,-11.80%,--,195.86M,157.82M,18.38,-28.30%,370.96M,44.78,48.53M,4.70%,3.12,124.20,224.68M,137.34M,1.25,23.23%,62.34k,53.69k,8.28M,8.28M,7.83M,215.29k,4.01,3.57%,2.59%,204.5k,--,--,0.00,0.00%,0.00%,--,--,2:1,2/1/2005,,
1633,CVE,34.40B ,40.19B ,10.48 ,9.15 ,-- ,0.85 ,1.62 ,0.97 ,4.82 ,12/31/2023,3/31/2024,8.72%,11.85%,7.17%,16.11%,53.34B,28.29,9.30%,--,10.78B,4.61B,1.76,84.90%,2.4B,1.29,9.83B,33.03%,1.70,15.66,9.6B,4.03B,2.72,23.23%,8.32M,8M,1.87B,1.87B,1.31B,36.43M,4.29,--,1.95%,33.2M,0.53,2.89%,0.56,2.92%,23.14%,6/28/2024,6/14/2024,--,--,,
1634,CVEO,354.19M ,425.48M ,11.64 ,-- ,-- ,0.52 ,1.19 ,0.61 ,3.43 ,12/31/2023,3/31/2024,4.49%,0.64%,3.20%,10.42%,699.33M,47.31,-0.90%,--,97.51M,31.38M,2.08,--,16.75M,1.15,88.04M,29.34%,1.82,20.33,102.19M,64.45M,2.12,23.23%,54.53k,44.32k,14.62M,14.62M,9.97M,13.45k,0.22,0.13%,0.09%,25.02k,1,4.20%,0.75,3.10%,36.06%,6/17/2024,5/23/2024,1:12,11/20/2020,,
1635,CVGI,181.86M ,297.82M ,4.07 ,7.40 ,0.34 ,0.18 ,1.04 ,0.31 ,5.30 ,12/31/2023,3/31/2024,4.53%,3.55%,5.36%,28.22%,964.04M,29.08,-11.70%,--,61.03M,43.65M,1.30,-66.20%,46.82M,1.45,187.14M,106.61%,2.30,5.63,35.86M,14.1M,2.59,23.23%,121.41k,121.29k,34.38M,34.38M,22.81M,352.62k,3.25,1.09%,1.03%,335.18k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1636,CVGW,457.82M ,524.14M ,98.06 ,-- ,-- ,0.46 ,2.22 ,0.53 ,24.58 ,10/31/2023,4/30/2024,-0.15%,4.17%,1.06%,-2.39%,992.89M,55.78,16.50%,--,22.39M,-5.15M,-0.29,--,4.27M,0.24,70.6M,34.05%,1.97,11.57,-8.54M,-80.55M,0.60,23.23%,173.14k,302.46k,17.8M,17.8M,16.68M,1.03M,6.67,8.56%,5.76%,1.02M,0.4,1.56%,0.40,1.52%,0.00%,4/29/2024,7/2/2024,--,--,,
1637,CVI,2.74B ,3.69B ,4.17 ,14.10 ,-- ,0.31 ,3.11 ,0.42 ,2.98 ,12/31/2023,3/31/2024,7.43%,6.66%,13.84%,71.04%,8.82B,87.80,-18.50%,--,1.22B,656M,6.52,-57.90%,644M,6.41,1.64B,153.23%,1.49,8.74,878M,385.75M,1.59,23.23%,940.47k,1.06M,100.53M,100.53M,33.8M,6.39M,6.59,18.89%,6.36%,6.16M,2,7.35%,2.00,7.44%,30.67%,5/20/2024,5/10/2024,--,--,,
1638,CVII,984.32M ,994.60M ,1.07k ,-- ,-- ,-- ,1.79 ,-- ,-678.71 ,12/31/2023,3/31/2024,0.00%,0.00%,-0.44%,--,--,--,--,--,--,4.04M,0.01,--,719.72k,0.01,11M,--,0.04,-0.63,-22.57M,1.3M,0.04,23.23%,94.6k,72k,57.06M,91.56M,37.03M,16.92k,0.22,0.05%,0.02%,22.17k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1639,CVIIU,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,12/31/2023,3/31/2024,0.00%,0.00%,-0.44%,--,--,--,--,--,--,4.04M,--,--,719.72k,0.01,11M,--,0.04,-0.46,-22.57M,1.3M,0.04,23.23%,1.37k,1.75k,--,--,37.03M,2.75k,6.13,--,--,4.18k,--,--,0.00,0.00%,--,--,--,--,--,,
1640,CVIIW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,0.00%,0.00%,-0.44%,--,--,--,--,--,--,4.04M,--,--,719.72k,0.01,11M,--,0.04,--,-22.57M,1.3M,0.04,23.23%,--,--,--,--,37.03M,,,,,,--,--,--,--,--,--,--,--,--,,
1641,CVKD,7.47M ,922.30k ,-- ,-- ,-- ,-- ,1.21 ,-- ,-- ,12/31/2023,3/31/2024,0.00%,0.00%,-56.24%,-94.50%,--,--,--,--,-5.19M,-4.85M,--,--,6.57M,0.41,15.17k,0.25%,8.21,0.39,-3.95M,-2.24M,--,23.23%,218.42k,97.86k,16.01M,16.01M,6.67M,10.01k,0.08,0.12%,0.06%,173.69k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1642,CVLG,629.49M ,918.83M ,15.79 ,11.85 ,-- ,0.59 ,1.55 ,0.82 ,6.51 ,12/31/2023,3/31/2024,3.82%,4.71%,3.88%,10.78%,1.12B,85.94,4.50%,--,129.48M,41.97M,3.04,-76.10%,2.95M,0.22,291.38M,71.55%,1.04,31.05,99.29M,-166.94M,1.34,23.23%,66.05k,47.4k,10.76M,13.11M,7.73M,90.29k,1.18,1.27%,0.69%,58.83k,0.44,0.92%,0.44,0.90%,14.47%,6/28/2024,6/7/2024,--,--,,
1643,CVLT,5.05B ,4.75B ,31.04 ,33.44 ,-- ,6.26 ,18.17 ,5.66 ,52.47 ,3/31/2024,3/31/2024,20.13%,10.18%,5.78%,72.78%,839.25M,19.12,9.70%,--,85.07M,168.91M,3.75,--,312.75M,7.21,12.09M,4.35%,1.23,6.39,203.8M,228.4M,0.61,23.23%,323.4k,468.18k,43.4M,43.4M,42.79M,855.84k,2.54,2.64%,1.97%,843.17k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1644,CVLY,209.96M ,-- ,9.45 ,-- ,-- ,2.31 ,1.04 ,2.81 ,-- ,12/31/2023,3/31/2024,23.85%,26.75%,1.01%,11.52%,93.22M,9.69,-8.80%,--,--,22.24M,2.30,-39.10%,26.75M,2.77,75.38M,--,--,20.80,22.87M,--,0.55,23.23%,28.45k,18.78k,9.66M,9.66M,7.56M,23.43k,0.68,0.25%,0.24%,25.26k,0.68,3.13%,0.67,3.07%,29.13%,5/14/2024,5/6/2024,105:100,10/21/2019,,
1645,CVM,69.87M ,77.19M ,-- ,-- ,-- ,-- ,4.88 ,-- ,-- ,9/30/2023,3/31/2024,0.00%,0.00%,-53.51%,-173.88%,--,--,--,--,-27.03M,-29.95M,-0.6300,--,5.33M,0.1,12.63M,88.30%,1.67,0.26,-20.13M,-9.4M,1.04,23.23%,317.48k,221.81k,54.16M,54.16M,52.37M,7.61M,18.23,14.52%,14.06%,6.81M,--,--,0.00,0.00%,0.00%,6/15/2017,8/28/1996,1:25,6/15/2017,,
1646,CVNA,12.99B ,19.17B ,44.61 ,-- ,-- ,2.25 ,44.95 ,1.71 ,12.80 ,12/31/2023,3/31/2024,5.68%,4.41%,1.57%,--,11.23B,100.33,17.50%,--,537M,638M,2.49,--,640M,5.47,6.5B,--,2.54,2.48,970M,1.17B,3.29,23.23%,4.47M,4.34M,116.95M,318.55M,99.13M,23.95M,4.18,25.92%,20.48%,28.57M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1647,CVR,14.64M ,11.97M ,6.60 ,-- ,-- ,0.48 ,0.58 ,0.39 ,10.02 ,12/31/2023,3/31/2024,-14.75%,-11.50%,-12.12%,-16.32%,30.63M,31.70,-10.00%,--,-4.67M,-4.52M,-4.68,--,2.67M,2.76,--,--,6.07,26.06,-678.99k,848.38k,0.16,23.23%,1.93k,1.83k,966.13k,966.13k,735k,5.2k,4.3,0.54%,0.54%,5.38k,0.4,2.64%,0.52,3.50%,225.64%,6/20/2024,6/5/2024,2:1,9/22/1997,,
1648,CVRX,220.92M ,171.41M ,0.12 ,-- ,-- ,5.08 ,3.33 ,4.07 ,-1.31 ,12/31/2023,3/31/2024,-123.58%,-206.42%,-29.04%,-62.70%,42.09M,2.02,35.00%,--,-52.65M,-52.01M,-2.49,--,80.11M,3.71,30.6M,46.18%,12.18,3.07,-39.67M,-24.11M,1.01,23.23%,264.22k,409.68k,21.6M,21.6M,11.64M,877.18k,2.77,6.67%,4.06%,786.47k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1649,CVS,76.62B ,145.32B ,10.71 ,8.68 ,1.58 ,0.22 ,1.04 ,0.40 ,8.47 ,12/31/2023,3/31/2024,2.04%,2.13%,3.18%,10.09%,359.66B,281.15,3.60%,--,16.92B,7.32B,5.70,-47.90%,13.09B,10.43,81.79B,110.31%,0.81,59.08,10.89B,8.36B,0.52,23.23%,12.61M,12.86M,1.26B,1.26B,1.25B,11.37M,0.77,0.91%,0.91%,18M,2.66,4.36%,2.48,4.13%,43.51%,5/1/2024,4/19/2024,2:1,6/7/2005,,
1650,CVU,30.08M ,50.81M ,1.79 ,-- ,0.52 ,0.35 ,1.34 ,0.61 ,8.75 ,12/31/2023,3/31/2024,19.62%,4.40%,5.03%,116.83%,83.53M,6.79,-13.30%,--,5.81M,16.39M,1.3100,-82.90%,3.02M,0.23,23.75M,105.40%,1.53,1.76,2.08M,1.13M,1.70,23.23%,64.84k,16.32k,12.86M,12.86M,8.76M,3.17k,0.06,0.03%,0.02%,11.47k,--,--,0.00,0.00%,0.00%,--,--,1:3,6/23/1999,,
1651,CVV,27.98M ,16.42M ,-- ,-- ,-- ,1.37 ,1.12 ,0.81 ,-28.94 ,12/31/2023,3/31/2024,-27.60%,-32.97%,-10.76%,-20.57%,20.34M,2.99,-43.40%,--,-5.26M,-5.61M,-0.8300,--,11.89M,1.74,330k,1.32%,2.29,3.66,1.02M,1.1M,1.39,23.23%,19.22k,13.67k,6.82M,6.82M,4.33M,28.62k,2.41,0.55%,0.42%,33.02k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1652,CVX,279.51B ,295.07B ,14.06 ,11.92 ,4.30 ,1.47 ,1.74 ,1.52 ,6.72 ,12/31/2023,3/31/2024,10.53%,13.91%,6.15%,12.64%,192.79B,103.61,-4.10%,--,41.23B,20.3B,10.87,-16.30%,6.28B,3.4,21.83B,13.51%,1.23,86.96,35.23B,14.77B,1.11,23.23%,7.37M,7.21M,1.83B,1.86B,1.72B,51.08M,6.99,2.79%,2.79%,52.15M,6.52,4.27%,6.16,3.99%,56.67%,6/10/2024,5/16/2024,2:1,9/13/2004,,
1653,CW,10.30B ,11.13B ,27.70 ,-- ,-- ,3.54 ,4.33 ,3.80 ,17.07 ,12/31/2023,3/31/2024,12.78%,13.98%,7.45%,16.88%,2.93B,76.50,13.00%,--,648.86M,374.16M,9.71,34.60%,338.03M,8.83,1.16B,48.82%,2.02,62.12,494.06M,400.5M,1.22,23.23%,215.57k,226.4k,38.3M,38.3M,38.05M,231.68k,1.23,0.68%,0.60%,323.5k,0.84,0.31%,0.80,0.30%,8.24%,7/5/2024,6/17/2024,2:1,4/24/2006,,
1654,CWAN,4.32B ,4.12B ,-- ,45.87 ,2.30 ,11.01 ,11.97 ,10.68 ,-- ,12/31/2023,3/31/2024,-3.97%,-0.16%,0.56%,-4.06%,386.28M,1.89,21.40%,--,14.69M,-15.35M,-0.08,--,267.57M,1.23,76.69M,18.88%,5.59,1.65,86.7M,109.08M,0.58,23.23%,1.2M,1.63M,146.55M,47.38M,145.25M,7.91M,7.1,5.45%,3.63%,6.97M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1655,CWBC,320.79M ,-- ,9.04 ,7.49 ,-- ,2.33 ,1.52 ,5.34 ,-- ,12/31/2023,3/31/2024,25.64%,27.35%,0.91%,11.30%,86.75M,7.39,-10.60%,--,--,22.24M,1.88,-47.30%,60.96M,3.23,136.78M,--,--,17.89,21.3M,--,0.88,23.23%,53.43k,32.02k,18.87M,18.87M,15.43M,184.28k,3.83,1.09%,0.98%,150.83k,0.48,2.82%,0.48,2.81%,25.53%,5/17/2024,5/2/2024,2:1,11/1/2005,,
1656,CWCO,397.78M ,354.08M ,11.97 ,18.76 ,2.34 ,2.14 ,2.07 ,1.89 ,7.40 ,12/31/2023,3/31/2024,17.24%,18.43%,12.02%,18.66%,187.03M,11.86,20.80%,--,47.32M,33.52M,2.10,69.80%,46.18M,2.92,2.45M,1.24%,4.99,12.13,8.57M,449.91k,0.19,23.23%,160.95k,110.09k,15.83M,15.83M,14.9M,584.96k,4.02,3.93%,3.70%,498.05k,0.38,1.51%,0.37,1.45%,17.62%,7/31/2024,7/1/2024,2:1,8/25/2005,,
1657,CWD,20.08M ,118.70M ,-- ,-- ,-- ,0.24 ,5.72 ,1.41 ,-- ,12/31/2023,3/31/2024,-18.14%,-18.98%,-7.85%,-41.70%,84.37M,4.03,-22.30%,--,-23.08M,-15.21M,-0.7000,--,3.66M,0.17,100.72M,116.45%,2.02,-0.03,-21.3M,-13.98M,--,23.23%,24.76k,8.99k,14.41M,21.83M,9.47M,6.54k,0.21,0.06%,0.03%,26.97k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1658,CWEN,3.08B ,11.39B ,41.55 ,42.92 ,3.06 ,2.45 ,1.54 ,8.84 ,11.30 ,12/31/2023,3/31/2024,5.97%,-10.65%,0.95%,-0.43%,1.29B,11.02,-8.70%,--,945M,77M,0.65,--,524M,4.48,8.79B,174.08%,1.71,17.59,708M,142.25M,0.98,23.23%,912.54k,938.01k,82.45M,195.25M,116.44M,2.52M,2.73,4.36%,2.15%,2.55M,1.64,6.15%,1.57,5.82%,241.63%,6/17/2024,6/3/2024,--,--,,
1659,CWH,878.00M ,4.88B ,-- ,17.39 ,-- ,0.27 ,8.87 ,0.80 ,16.93 ,12/31/2023,3/31/2024,0.09%,0.85%,2.93%,-2.70%,6.1B,136.32,-8.30%,--,299.26M,5.57M,-0.01,--,29.72M,0.66,4.03B,"2,644.27%",1.19,2.20,43.61M,-190.26M,2.59,23.23%,991.45k,1M,45.07M,45.07M,36.68M,7.86M,6.72,21.32%,17.44%,7.24M,0.5,2.68%,1.00,5.17%,272.73%,6/27/2024,6/13/2024,--,--,,
1660,CWK,2.44B ,5.37B ,212.60 ,16.39 ,0.21 ,0.26 ,1.50 ,0.57 ,10.09 ,12/31/2023,3/31/2024,0.13%,1.11%,2.38%,0.76%,9.43B,41.48,-2.90%,--,429.5M,12.2M,0.05,--,553.5M,2.42,3.49B,214.58%,1.13,7.09,248.6M,386.28M,1.34,23.23%,2.48M,2.37M,229.16M,229.16M,212.24M,15.18M,8.22,7.64%,6.63%,14.12M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1661,CWST,5.63B ,6.56B ,302.78 ,131.58 ,-- ,4.10 ,5.49 ,4.88 ,23.89 ,12/31/2023,3/31/2024,1.32%,3.47%,3.20%,2.32%,1.34B,23.67,29.90%,--,291.03M,17.73M,0.32,--,196.65M,3.38,1.13B,109.67%,1.58,17.66,224.69M,48.6M,0.97,23.23%,258.98k,279.08k,57.12M,58.11M,56.55M,1.76M,7.1,3.11%,3.03%,1.63M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1662,CWT,2.77B ,4.06B ,19.03 ,22.94 ,2.70 ,2.95 ,1.89 ,4.35 ,12.87 ,12/31/2023,3/31/2024,15.42%,35.72%,2.84%,10.34%,934.28M,16.26,106.50%,--,322.88M,144.04M,2.52,--,42.81M,0.74,1.33B,90.65%,0.56,25.41,223.36M,-210.09M,0.48,23.23%,394.95k,331.55k,57.75M,57.75M,57.19M,1.09M,2.29,2.75%,1.89%,1.17M,1.12,2.34%,1.06,2.22%,42.06%,5/17/2024,5/3/2024,2:1,6/13/2011,,
1663,CX,9.62B ,17.16B ,46.33 ,8.75 ,0.11 ,0.55 ,0.82 ,0.99 ,5.27 ,12/31/2023,3/31/2024,1.21%,10.24%,4.76%,1.96%,17.52B,11.92,2.50%,--,3.1B,211.11M,0.14,12.80%,475.69M,0.03,7.84B,64.76%,0.78,0.81,2.72B,1.87B,1.08,23.23%,7.02M,8.89M,1.45B,1.46B,14.49B,8.99M,1.14,--,0.47%,10.96M,0.7,10.53%,0.00,0.00%,0.00%,12/18/2019,6/17/2024,104:100,5/3/2017,,
1664,CXAI,52.06M ,50.22M ,10.22 ,-- ,-- ,-- ,1.83 ,-- ,-34.71 ,12/31/2023,3/31/2024,0.00%,-197.30%,-16.57%,-132.28%,7.22M,0.62,-7.30%,--,-11.89M,-57.17M,2.9100,--,5.6M,0.37,3.76M,18.03%,0.60,1.37,-8.98M,-469.5k,0.95,23.23%,6.84M,438.28k,15.25M,20.74M,11.89M,1.35M,0.57,19.20%,8.88%,1.57M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1665,CXAIW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,--,--,0.00,0.00%,--,--,--,--,--,,
1666,CXDO,84.41M ,75.27M ,52.83 ,-- ,-- ,1.56 ,1.80 ,1.37 ,14.08 ,12/31/2023,3/31/2024,3.01%,3.38%,0.41%,3.77%,54.99M,2.11,14.40%,--,3.02M,1.65M,0.0600,--,11.04M,0.41,1.91M,4.07%,1.98,1.76,4.89M,8.6M,1.15,23.23%,124.6k,134.52k,26.63M,26.63M,10.72M,230.15k,2.03,1.75%,0.86%,279.97k,0.02,0.41%,0.00,0.00%,0.00%,4/11/2023,3/30/2023,--,--,,
1667,CXE,114.12M ,-- ,51.71 ,-- ,-- ,51.69 ,0.90 ,46.53 ,-- ,11/30/2023,11/30/2023,23.94%,84.74%,2.53%,1.92%,10.24M,0.32,3.40%,--,--,2.45M,0.0700,--,--,--,81.46M,64.52%,1.54,4.01,10M,4.45M,0.65,23.23%,55.37k,47.16k,31.53M,31.61M,--,52.39k,1.29,--,0.21%,18.6k,0.16,4.39%,0.16,4.39%,222.86%,2/28/2019,6/18/2024,--,--,,
1668,CXH,63.22M ,-- ,33.52 ,-- ,-- ,33.95 ,0.92 ,33.95 ,-- ,11/30/2023,11/30/2023,28.61%,78.05%,2.26%,2.16%,5.5M,0.67,8.70%,--,--,1.57M,0.23,--,--,--,43.77M,63.63%,0.89,8.39,11.84M,2.55M,0.57,23.23%,19.29k,21.25k,8.2M,8.2M,--,5.76k,0.33,--,0.07%,6.35k,0.28,3.59%,0.28,3.62%,119.35%,2/28/2019,6/18/2024,--,--,,
1669,CXM,2.40B ,1.84B ,43.10 ,22.62 ,0.75 ,3.45 ,3.93 ,2.44 ,31.06 ,1/31/2024,4/30/2024,7.84%,2.91%,2.49%,9.96%,754.96M,2.78,13.00%,--,49.12M,59.23M,0.21,278.70%,610.08M,2.3,51.59M,8.44%,1.92,2.28,94.62M,83.7M,0.84,23.23%,2.38M,3.38M,148.65M,265.23M,86.22M,7.14M,4.61,5.75%,2.64%,6.86M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1670,CXT,3.46B ,3.92B ,19.13 ,14.01 ,-- ,2.54 ,3.59 ,2.85 ,10.99 ,12/31/2023,3/31/2024,13.26%,18.75%,8.18%,--,1.38B,24.19,-4.70%,--,352.3M,182.4M,3.17,-13.50%,220.6M,3.86,677.7M,70.29%,2.12,16.88,250.3M,137.25M,--,23.23%,294.73k,247.92k,57.13M,57.13M,56.59M,4.59M,17.08,11.26%,8.04%,4.33M,0.64,1.06%,0.58,0.95%,18.30%,6/12/2024,5/31/2024,2879:1000,4/4/2023,,
1671,CXW,1.31B ,2.29B ,20.96 ,16.31 ,-- ,0.69 ,0.90 ,1.18 ,8.04 ,12/31/2023,3/31/2024,3.34%,10.86%,3.81%,4.52%,1.94B,17.13,9.30%,--,313.45M,64.73M,0.56,-23.00%,111.4M,1,1.13B,78.16%,1.17,12.94,212.43M,128.35M,0.89,23.23%,862.81k,1.54M,111.26M,111.26M,108.81M,4.4M,6.93,5.73%,3.96%,4.08M,--,--,0.00,0.00%,0.00%,4/15/2020,3/31/2020,2:1,7/9/2007,,
1672,CYBN,231.96M ,203.88M ,-- ,-- ,-- ,-- ,2.58 ,-- ,-- ,3/31/2023,12/31/2023,0.00%,0.00%,-44.21%,-79.36%,--,--,--,--,-67.09M,-70.45M,-0.2200,--,39M,0.09,366k,0.30%,5.76,0.29,-59.04M,-27.84M,1.01,23.23%,4.32M,6.03M,759.69M,799.87M,301.07M,22.8M,8.1,--,3.00%,23.46M,--,--,0.00,0.00%,0.00%,--,--,149:1000,11/10/2020,,
1673,CYBR,10.88B ,10.37B ,2.32k ,125.00 ,6.26 ,13.45 ,12.99 ,12.77 ,-- ,12/31/2023,3/31/2024,-3.20%,-2.88%,-2.42%,-3.43%,811.73M,19.34,37.00%,--,-60.48M,-26.01M,-0.63,--,1.08B,25.42,573.09M,68.47%,1.14,19.73,119.02M,135.02M,1.08,23.23%,479.35k,604.94k,43.15M,44.06M,41.98M,1.88M,3.69,4.48%,4.44%,1.7M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1674,CYCC,2.49M ,-289.46k ,-- ,-- ,-- ,3.66 ,0.36 ,6.10 ,0.40 ,12/31/2023,3/31/2024,0.00%,"-15,017.24%",-99.60%,-496.02%,449k,0.47,--,--,-22.46M,-19.85M,-22.0200,--,2.8M,1.91,21k,--,0.58,-1.67,-9.73M,-6.24M,0.59,23.23%,859.19k,378.01k,1.46M,1.46M,1.15M,145.32k,0.07,10.53%,9.93%,38.41k,--,--,0.00,0.00%,0.00%,4/15/2020,--,1:15,12/18/2023,,
1675,CYCCP,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,12/31/2023,3/31/2024,0.00%,"-15,017.24%",-99.60%,-496.02%,449k,0.47,--,--,-22.46M,-19.85M,-2.05,--,2.8M,1.91,21k,--,0.58,-1.67,-9.73M,-6.24M,0.59,23.23%,1.88k,3k,12.5M,--,1.15M,300,0.28,0.09%,--,53,0.6,7.79%,0.00,0.00%,--,2/1/2024,1/19/2024,--,--,,
1676,CYCN,5.67M ,-21.91k ,-- ,-- ,-- ,55.50 ,0.57 ,-655.82 ,0.56 ,12/31/2023,3/31/2024,0.00%,0.00%,-43.77%,-158.12%,--,--,--,--,--,-10.95M,-4.5500,--,5.7M,2.28,--,--,4.17,3.97,-16.9M,-9.41M,1.84,23.23%,1.99k,1.41k,2.5M,2.5M,1.07M,18.57k,18.44,1.13%,0.74%,20.18k,--,--,0.00,0.00%,0.00%,--,--,1:20,5/16/2023,,
